region,disease,region_disease_cases_all,peak_month_region,seasonality_region,rq,rate_per_100k,seasonality_defined
울산,백일해,62.0,7.0,0.1774193548387097,1.1737314288327003,0.6809350380285745,True
울산,A형간염,296.0,4.0,0.12837837837837837,0.31155965211874537,3.250915665426743,True
울산,일본뇌염,0.0,,,,,False
울산,신증후군출혈열,19.0,11.0,0.47368421052631576,0.2617641496100558,0.20867364068617603,True
울산,쯔쯔가무시증,2350.0,11.0,0.6727659574468086,1.9391605812597,25.80963450592177,True
인천,수두,20966.0,12.0,0.1333587713440809,0.8924241467867026,89.50867672973992,True
인천,말라리아,580.0,8.0,0.22586206896551725,2.7376517992054032,2.476153415207915,True
인천,유행성이하선염,5039.0,5.0,0.13097836872395316,0.8573563266426691,21.512650102125317,True
인천,백일해,124.0,2.0,0.14516129032258066,0.9125029821885117,0.5293845232513473,True
인천,A형간염,3087.0,5.0,0.11758989310009718,1.263053340176005,13.179113090942819,True
인천,일본뇌염,8.0,10.0,0.625,0.9726006248326478,0.03415384020976435,True
인천,신증후군출혈열,45.0,10.0,0.2,0.24099311903164414,0.19211535117992445,True
인천,쯔쯔가무시증,546.0,11.0,0.5128205128205128,0.17513547226690232,2.330999594316417,True
전남,수두,17251.0,12.0,0.1473537765926613,1.1599131449484112,116.33738407862441,True
전남,말라리아,21.0,7.0,0.38095238095238093,0.1565759208433883,0.1416199098980414,True
전남,유행성이하선염,4540.0,5.0,0.11696035242290749,1.2201923988593433,30.61687575890991,True
전남,백일해,126.0,12.0,0.15873015873015872,1.4646660539927547,0.8497194593882484,True
전남,A형간염,780.0,3.0,0.1576923076923077,0.5041213942030245,5.260168081927253,True
전남,일본뇌염,7.0,9.0,0.8571428571428571,1.344305764833628,0.047206636632680474,True
전남,신증후군출혈열,550.0,11.0,0.24909090909090909,4.65275604487276,3.7090928782820374,True
전남,쯔쯔가무시증,9091.0,11.0,0.5090749092509075,4.6062615761864505,61.30793337538545,True
전북,수두,16996.0,12.0,0.139503412567663,1.1712840495866303,117.47786714494637,True
전북,말라리아,21.0,6.0,0.2857142857142857,0.1604830931106958,0.14515387209013142,True
전북,유행성이하선염,4631.0,5.0,0.1179011012740229,1.275708810991617,32.009884840447555,True
전북,백일해,54.0,10.0,0.16666666666666666,0.6433779056179831,0.37325281394605225,True
전북,A형간염,1765.0,8.0,0.10368271954674221,1.1692019942100615,12.199837344718189,True
전북,일본뇌염,0.0,,,,,False
전북,신증후군출혈열,413.0,11.0,0.19854721549636803,3.5809804984711615,2.8546928177725848,True
전북,쯔쯔가무시증,5763.0,11.0,0.5231650182196772,2.9928839011856563,39.834369755020354,True
제주,수두,9967.0,5.0,0.1254138657569981,1.883032885088817,188.86510678780283,True
제주,말라리아,10.0,7.0,0.5,0.20950188315072382,0.18949042519093293,True
제주,유행성이하선염,1580.0,6.0,0.12341772151898735,1.1931960324970696,29.9394871801674,True
제주,백일해,32.0,6.0,0.15625,1.045202165085881,0.6063693606109853,True
제주,A형간염,336.0,5.0,0.16666666666666666,0.6101857409264925,6.3668782864153455,True
제주,일본뇌염,0.0,,,,,False
제주,신증후군출혈열,18.0,6.0,0.2222222222222222,0.42786065227618925,0.34108276534367926,True
제주,쯔쯔가무시증,687.0,11.0,0.5516739446870451,0.9780834880161708,13.017992210617091,True
충남,수두,15293.0,12.0,0.13097495586215915,0.9057635588548464,90.84659785936356,True
충남,말라리아,40.0,7.0,0.4,0.262710016381964,0.23761615865916055,True
충남,유행성이하선염,4471.0,5.0,0.11876537687318273,1.0584932494487311,26.559546134127668,True
충남,백일해,61.0,12.0,0.2786885245901639,0.6246099043337847,0.3623646419552198,True
충남,A형간염,3161.0,8.0,0.11452072129073078,1.799599990566623,18.77761693804016,True
충남,일본뇌염,5.0,10.0,0.6,0.8458259121186671,0.02970201983239507,True
충남,신증후군출혈열,469.0,11.0,0.26439232409381663,3.4948729764971733,2.786049460278657,True
충남,쯔쯔가무시증,5978.0,11.0,0.538474406155905,2.6681104878467408,35.51173491161154,True
충북,수두,11870.0,12.0,0.13176074136478516,0.9320279271310036,93.4808708762985,True
충북,말라리아,24.0,7.0,0.3333333333333333,0.20896999542322778,0.18900934296808458,True
충북,유행성이하선염,2603.0,6.0,0.11717249327698809,0.8169841710090924,20.49963832274684,True
충북,백일해,58.0,11.0,0.15517241379310345,0.7873413786506167,0.45677257883953776,True
충북,A형간염,1958.0,5.0,0.11797752808988764,1.4778155266492787,15.420012230479566,True
충북,일본뇌염,6.0,9.0,0.6666666666666666,1.3456071406679722,0.047252335742021145,True
충북,신증후군출혈열,142.0,11.0,0.2112676056338028,1.4028232289374272,1.1183052792278338,True
충북,쯔쯔가무시증,1193.0,11.0,0.5540653813914501,0.7059019705675329,9.39533942337187,True
